Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,atl-trx1-dc1-p2,Ethernet6/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet6/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet6/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet7/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet7/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet7/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet7/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet8/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet8/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet8/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet8/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet9/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet9/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet9/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet9/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet10/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet10/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet10/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet10/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet11/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet11/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet11/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet11/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet12/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet12/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet12/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet12/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet13/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet13/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet13/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet13/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet14/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet14/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet14/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet14/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet15/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet15/2,network_port,,,True
